task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 105  1468505896.24064112  1468505896.24100709  0.00036597
 106  1468505896.24109006  1468505896.24145508  0.00036502
 107  1468505896.24153805  1468505896.24190307  0.00036502
 108  1468505896.24198604  1468505896.24235201  0.00036597
 109  1468505896.24243498  1468505896.24280190  0.00036693
 110  1468505896.24288297  1468505896.24324489  0.00036192
 111  1468505896.24332809  1468505896.24369311  0.00036502
 112  1468505896.24377489  1468505896.24413610  0.00036120
 113  1468505896.24421906  1468505896.24458194  0.00036287
 114  1468505896.24466491  1468505896.24502993  0.00036502
 115  1468505896.24511290  1468505896.24547696  0.00036407
 116  1468505896.24555898  1468505896.24592805  0.00036907
 117  1468505896.24601007  1468505896.24648190  0.00047183
 118  1468505896.24656606  1468505896.24703789  0.00047183
 119  1468505896.24712110  1468505896.24758911  0.00046802
 120  1468505896.24767303  1468505896.24814200  0.00046897
 121  1468505896.24822497  1468505896.24869609  0.00047112
 122  1468505896.24877906  1468505896.24924994  0.00047088
 123  1468505896.24933410  1468505896.24980307  0.00046897
 124  1468505896.24988604  1468505896.25025010  0.00036407
 125  1468505896.25036407  1468505896.25073290  0.00036883
 126  1468505896.25081992  1468505896.25118494  0.00036502
 127  1468505896.25126910  1468505896.25163102  0.00036192
 128  1468505896.25171399  1468505896.25207806  0.00036407
 129  1468505896.25216007  1468505896.25252390  0.00036383
 130  1468505896.25260711  1468505896.25297189  0.00036478
 131  1468505896.25305605  1468505896.25341892  0.00036287
 132  1468505896.25350189  1468505896.25386691  0.00036502
 133  1468505896.25395012  1468505896.25431299  0.00036287
 134  1468505896.25439501  1468505896.25475907  0.00036407
 135  1468505896.25484300  1468505896.25520706  0.00036407
 136  1468505896.25529003  1468505896.25565910  0.00036907
 137  1468505896.25574207  1468505896.25621295  0.00047088
 138  1468505896.25629592  1468505896.25676799  0.00047207
 139  1468505896.25685096  1468505896.25732088  0.00046992
 140  1468505896.25740504  1468505896.25787306  0.00046802
 141  1468505896.25795698  1468505896.25842690  0.00046992
 142  1468505896.25851011  1468505896.25898194  0.00047183
 143  1468505896.25906610  1468505896.25953603  0.00046992
 144  1468505896.25961804  1468505896.26008797  0.00046992
 145  1468505896.26017189  1468505896.26054406  0.00037217
 146  1468505896.26062608  1468505896.26099110  0.00036502
 147  1468505896.26107407  1468505896.26143599  0.00036192
 148  1468505896.26151896  1468505896.26188111  0.00036216
 149  1468505896.26196504  1468505896.26232910  0.00036407
 150  1468505896.26241207  1468505896.26277709  0.00036502
 151  1468505896.26286006  1468505896.26322603  0.00036597
 152  1468505896.26330900  1468505896.26367307  0.00036407
 153  1468505896.26375508  1468505896.26412010  0.00036502
 154  1468505896.26420307  1468505896.26456690  0.00036383
 155  1468505896.26465011  1468505896.26501203  0.00036192
 156  1468505896.26509404  1468505896.26545691  0.00036287
 157  1468505896.26553988  1468505896.26590490  0.00036502
 158  1468505896.26598692  1468505896.26635194  0.00036502
 159  1468505896.26643610  1468505896.26680398  0.00036788
 160  1468505896.26688504  1468505896.26725006  0.00036502
 161  1468505896.26733303  1468505896.26769495  0.00036192
 162  1468505896.26777697  1468505896.26814008  0.00036311
 163  1468505896.26822090  1468505896.26858401  0.00036311
 164  1468505896.26866698  1468505896.26902795  0.00036097
 165  1468505896.26911092  1468505896.26947403  0.00036311
 166  1468505896.26955605  1468505896.26991796  0.00036192
 167  1468505896.27000189  1468505896.27045107  0.00044918
 168  1468505896.27053499  1468505896.27089906  0.00036407
 169  1468505896.27098298  1468505896.27134705  0.00036407
 170  1468505896.27143097  1468505896.27179289  0.00036192
 171  1468505896.27187705  1468505896.27223992  0.00036287
 172  1468505896.27232194  1468505896.27268505  0.00036311
 173  1468505896.27276897  1468505896.27313089  0.00036192
 174  1468505896.27321410  1468505896.27357793  0.00036383
 175  1468505896.27366090  1468505896.27402306  0.00036216
 176  1468505896.27410698  1468505896.27446890  0.00036192
 177  1468505896.27455211  1468505896.27491498  0.00036287
 178  1468505896.27499700  1468505896.27536011  0.00036311
 179  1468505896.27544308  1468505896.27580905  0.00036597
 180  1468505896.27589107  1468505896.27625704  0.00036597
 181  1468505896.27633905  1468505896.27670193  0.00036287
 182  1468505896.27678394  1468505896.27714801  0.00036407
 183  1468505896.27723193  1468505896.27759290  0.00036097
 184  1468505896.27767706  1468505896.27803898  0.00036192
 185  1468505896.27812195  1468505896.27848411  0.00036216
 186  1468505896.27856708  1468505896.27892804  0.00036097
 187  1468505896.27901196  1468505896.27937293  0.00036097
 188  1468505896.27945590  1468505896.27981901  0.00036311
 189  1468505896.27990198  1468505896.28026390  0.00036192
 190  1468505896.28037095  1468505896.28073502  0.00036407
 191  1468505896.28081894  1468505896.28118205  0.00036311
 192  1468505896.28126502  1468505896.28162694  0.00036192
 193  1468505896.28170896  1468505896.28207111  0.00036216
 194  1468505896.28215408  1468505896.28251791  0.00036383
 195  1468505896.28260112  1468505896.28296304  0.00036192
 196  1468505896.28304601  1468505896.28340912  0.00036311
 197  1468505896.28349209  1468505896.28385401  0.00036192
 198  1468505896.28393602  1468505896.28429890  0.00036287
 199  1468505896.28438306  1468505896.28474402  0.00036097
 200  1468505896.28482604  1468505896.28518891  0.00036287
 201  1468505896.28527188  1468505896.28563809  0.00036621
 202  1468505896.28572011  1468505896.28618693  0.00046682
 203  1468505896.28627110  1468505896.28663611  0.00036502
 204  1468505896.28671908  1468505896.28708100  0.00036192
 205  1468505896.28716493  1468505896.28752708  0.00036216
 206  1468505896.28761005  1468505896.28797197  0.00036192
 207  1468505896.28805494  1468505896.28841591  0.00036097
 208  1468505896.28849912  1468505896.28886199  0.00036287
 209  1468505896.28894305  1468505896.28930807  0.00036502
 210  1468505896.28939104  1468505896.28975391  0.00036287
 211  1468505896.28983593  1468505896.29019809  0.00036216
 212  1468505896.29028106  1468505896.29067206  0.00039101
 213  1468505896.29075789  1468505896.29112196  0.00036407
 214  1468505896.29120493  1468505896.29156709  0.00036216
 215  1468505896.29165101  1468505896.29201388  0.00036287
 216  1468505896.29209495  1468505896.29245901  0.00036407
 217  1468505896.29254198  1468505896.29290509  0.00036311
 218  1468505896.29298592  1468505896.29334998  0.00036407
 219  1468505896.29343295  1468505896.29379511  0.00036216
 220  1468505896.29387903  1468505896.29424191  0.00036287
 221  1468505896.29432392  1468505896.29468703  0.00036311
 222  1468505896.29477000  1468505896.29513311  0.00036311
 223  1468505896.29521608  1468505896.29558897  0.00037289
 224  1468505896.29567194  1468505896.29603791  0.00036597
 225  1468505896.29611993  1468505896.29648495  0.00036502
 226  1468505896.29656792  1468505896.29693294  0.00036502
 227  1468505896.29701495  1468505896.29737806  0.00036311
 228  1468505896.29746008  1468505896.29782200  0.00036192
 229  1468505896.29790497  1468505896.29826689  0.00036192
 230  1468505896.29835010  1468505896.29871202  0.00036192
 231  1468505896.29879594  1468505896.29915690  0.00036097
 232  1468505896.29924011  1468505896.29960299  0.00036287
 233  1468505896.29968500  1468505896.30004907  0.00036407
 234  1468505896.30013299  1468505896.30049706  0.00036407
 235  1468505896.30058098  1468505896.30094290  0.00036192
 236  1468505896.30102611  1468505896.30138898  0.00036287
 237  1468505896.30147195  1468505896.30183506  0.00036311
 238  1468505896.30191708  1468505896.30227900  0.00036192
 239  1468505896.30236197  1468505896.30272293  0.00036097
 240  1468505896.30280495  1468505896.30316806  0.00036311
 241  1468505896.30325007  1468505896.30361390  0.00036383
 242  1468505896.30369592  1468505896.30405903  0.00036311
 243  1468505896.30414200  1468505896.30450392  0.00036192
 244  1468505896.30458689  1468505896.30494905  0.00036216
 245  1468505896.30503201  1468505896.30539393  0.00036192
 246  1468505896.30547690  1468505896.30584407  0.00036716
 247  1468505896.30592704  1468505896.30629110  0.00036407
 248  1468505896.30637407  1468505896.30673599  0.00036192
 249  1468505896.30681801  1468505896.30718088  0.00036287
 250  1468505896.30726290  1468505896.30762410  0.00036120
 251  1468505896.30770707  1468505896.30806804  0.00036097
 252  1468505896.30815101  1468505896.30851293  0.00036192
 253  1468505896.30859590  1468505896.30895710  0.00036120
 254  1468505896.30904007  1468505896.30940294  0.00036287
 255  1468505896.30948591  1468505896.30984712  0.00036120
 256  1468505896.30993009  1468505896.31029105  0.00036097
 257  1468505896.31039691  1468505896.31076193  0.00036502
 258  1468505896.31084490  1468505896.31120801  0.00036311
 259  1468505896.31129098  1468505896.31165290  0.00036192
 260  1468505896.31173706  1468505896.31209898  0.00036192
 261  1468505896.31218004  1468505896.31254196  0.00036192
 262  1468505896.31262398  1468505896.31298900  0.00036502
 263  1468505896.31307197  1468505896.31343389  0.00036192
 264  1468505896.31351805  1468505896.31387997  0.00036192
 265  1468505896.31396389  1468505896.31432390  0.00036001
 266  1468505896.31440902  1468505896.31477094  0.00036192
