task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
  85  1468506024.09910893  1468506024.09946203  0.00035310
  86  1468506024.09954405  1468506024.09989595  0.00035191
  87  1468506024.09997702  1468506024.10035610  0.00037909
  88  1468506024.10044098  1468506024.10079908  0.00035810
  89  1468506024.10088110  1468506024.10123491  0.00035381
  90  1468506024.10131598  1468506024.10166907  0.00035310
  91  1468506024.10175109  1468506024.10210395  0.00035286
  92  1468506024.10218501  1468506024.10254002  0.00035501
  93  1468506024.10262108  1468506024.10297394  0.00035286
  94  1468506024.10305500  1468506024.10340810  0.00035310
  95  1468506024.10348892  1468506024.10384607  0.00035715
  96  1468506024.10392594  1468506024.10428095  0.00035501
  97  1468506024.10436201  1468506024.10471511  0.00035310
  98  1468506024.10479593  1468506024.10514998  0.00035405
  99  1468506024.10523105  1468506024.10559297  0.00036192
 100  1468506024.10567307  1468506024.10602999  0.00035691
 101  1468506024.10611105  1468506024.10646391  0.00035286
 102  1468506024.10654402  1468506024.10689807  0.00035405
 103  1468506024.10697889  1468506024.10733104  0.00035214
 104  1468506024.10741210  1468506024.10776711  0.00035501
 105  1468506024.10784698  1468506024.10820007  0.00035310
 106  1468506024.10828090  1468506024.10863495  0.00035405
 107  1468506024.10871410  1468506024.10906696  0.00035286
 108  1468506024.10914803  1468506024.10950089  0.00035286
 109  1468506024.10958195  1468506024.10993600  0.00035405
 110  1468506024.11001706  1468506024.11037397  0.00035691
 111  1468506024.11045599  1468506024.11081290  0.00035691
 112  1468506024.11089396  1468506024.11124706  0.00035310
 113  1468506024.11132789  1468506024.11168194  0.00035405
 114  1468506024.11176300  1468506024.11211610  0.00035310
 115  1468506024.11219811  1468506024.11255193  0.00035381
 116  1468506024.11263204  1468506024.11298895  0.00035691
 117  1468506024.11307096  1468506024.11342406  0.00035310
 118  1468506024.11350393  1468506024.11385703  0.00035310
 119  1468506024.11393690  1468506024.11429000  0.00035310
 120  1468506024.11437106  1468506024.11472297  0.00035191
 121  1468506024.11480403  1468506024.11515689  0.00035286
 122  1468506024.11523700  1468506024.11559510  0.00035810
 123  1468506024.11567497  1468506024.11603308  0.00035810
 124  1468506024.11611295  1468506024.11646605  0.00035310
 125  1468506024.11654711  1468506024.11689901  0.00035191
 126  1468506024.11698008  1468506024.11733294  0.00035286
 127  1468506024.11741495  1468506024.11776900  0.00035405
 128  1468506024.11784911  1468506024.11820292  0.00035381
 129  1468506024.11828399  1468506024.11863804  0.00035405
 130  1468506024.11871791  1468506024.11907196  0.00035405
 131  1468506024.11915302  1468506024.11950493  0.00035191
 132  1468506024.11958599  1468506024.11993909  0.00035310
 133  1468506024.12001896  1468506024.12037802  0.00035906
 134  1468506024.12045789  1468506024.12081289  0.00035501
 135  1468506024.12089300  1468506024.12124610  0.00035310
 136  1468506024.12132597  1468506024.12167811  0.00035214
 137  1468506024.12175989  1468506024.12211299  0.00035310
 138  1468506024.12219501  1468506024.12255001  0.00035501
 139  1468506024.12263203  1468506024.12298608  0.00035405
 140  1468506024.12306690  1468506024.12342191  0.00035501
 141  1468506024.12350202  1468506024.12385392  0.00035191
 142  1468506024.12393403  1468506024.12429404  0.00036001
 143  1468506024.12437510  1468506024.12472796  0.00035286
 144  1468506024.12480903  1468506024.12516403  0.00035501
 145  1468506024.12524509  1468506024.12560296  0.00035787
 146  1468506024.12568402  1468506024.12604094  0.00035691
 147  1468506024.12612104  1468506024.12647510  0.00035405
 148  1468506024.12655401  1468506024.12690806  0.00035405
 149  1468506024.12698889  1468506024.12734294  0.00035405
 150  1468506024.12742400  1468506024.12777901  0.00035501
 151  1468506024.12785912  1468506024.12821293  0.00035381
 152  1468506024.12829304  1468506024.12864494  0.00035191
 153  1468506024.12872601  1468506024.12907791  0.00035191
 154  1468506024.12915897  1468506024.12951207  0.00035310
 155  1468506024.12959290  1468506024.12994599  0.00035310
 156  1468506024.13002706  1468506024.13038707  0.00036001
 157  1468506024.13046908  1468506024.13082409  0.00035501
 158  1468506024.13090491  1468506024.13125801  0.00035310
 159  1468506024.13134003  1468506024.13169503  0.00035501
 160  1468506024.13177490  1468506024.13212705  0.00035214
 161  1468506024.13220692  1468506024.13256097  0.00035405
 162  1468506024.13264203  1468506024.13299608  0.00035405
 163  1468506024.13307595  1468506024.13343000  0.00035405
 164  1468506024.13351107  1468506024.13386512  0.00035405
 165  1468506024.13394499  1468506024.13429904  0.00035405
 166  1468506024.13437891  1468506024.13473105  0.00035214
 167  1468506024.13481307  1468506024.13516498  0.00035191
 168  1468506024.13524604  1468506024.13560295  0.00035691
 169  1468506024.13568306  1468506024.13603711  0.00035405
 170  1468506024.13611794  1468506024.13647008  0.00035214
 171  1468506024.13655090  1468506024.13690710  0.00035620
 172  1468506024.13698792  1468506024.13734007  0.00035214
 173  1468506024.13742208  1468506024.13777399  0.00035191
 174  1468506024.13785410  1468506024.13820601  0.00035191
 175  1468506024.13828707  1468506024.13863897  0.00035191
 176  1468506024.13871908  1468506024.13907194  0.00035286
 177  1468506024.13915110  1468506024.13950300  0.00035191
 178  1468506024.13958406  1468506024.13993597  0.00035191
 179  1468506024.14001703  1468506024.14037395  0.00035691
 180  1468506024.14045501  1468506024.14080906  0.00035405
 181  1468506024.14088988  1468506024.14124203  0.00035214
 182  1468506024.14132309  1468506024.14167500  0.00035191
 183  1468506024.14175701  1468506024.14210796  0.00035095
 184  1468506024.14218903  1468506024.14254189  0.00035286
 185  1468506024.14262390  1468506024.14297605  0.00035214
 186  1468506024.14305711  1468506024.14340901  0.00035191
 187  1468506024.14348888  1468506024.14384294  0.00035405
 188  1468506024.14392400  1468506024.14427710  0.00035310
 189  1468506024.14435792  1468506024.14470911  0.00035119
 190  1468506024.14479089  1468506024.14514208  0.00035119
 191  1468506024.14522409  1468506024.14558005  0.00035596
 192  1468506024.14566112  1468506024.14601493  0.00035381
 193  1468506024.14609504  1468506024.14644694  0.00035191
 194  1468506024.14652705  1468506024.14687800  0.00035095
 195  1468506024.14696002  1468506024.14731312  0.00035310
 196  1468506024.14739299  1468506024.14774489  0.00035191
 197  1468506024.14782500  1468506024.14817810  0.00035310
 198  1468506024.14825797  1468506024.14861298  0.00035501
 199  1468506024.14869308  1468506024.14904594  0.00035286
 200  1468506024.14912701  1468506024.14948106  0.00035405
 201  1468506024.14956188  1468506024.14991403  0.00035214
 202  1468506024.14999509  1468506024.15035200  0.00035691
 203  1468506024.15043592  1468506024.15078807  0.00035214
 204  1468506024.15086889  1468506024.15122104  0.00035214
 205  1468506024.15130091  1468506024.15165210  0.00035119
