task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 122  1468506049.12471700  1468506049.12472796  0.00001097
 123  1468506049.12479496  1468506049.12480593  0.00001097
 124  1468506049.12487698  1468506049.12488699  0.00001001
 125  1468506049.12495494  1468506049.12496495  0.00001001
 126  1468506049.12503099  1468506049.12504196  0.00001097
 127  1468506049.12510896  1468506049.12511992  0.00001097
 128  1468506049.12518692  1468506049.12519789  0.00001097
 129  1468506049.12526798  1468506049.12527800  0.00001001
 130  1468506049.12534499  1468506049.12535596  0.00001097
 131  1468506049.12542295  1468506049.12543297  0.00001001
 132  1468506049.12551403  1468506049.12552595  0.00001192
 133  1468506049.12559390  1468506049.12560511  0.00001121
 134  1468506049.12567306  1468506049.12568402  0.00001097
 135  1468506049.12575102  1468506049.12576199  0.00001097
 136  1468506049.12582994  1468506049.12584090  0.00001097
 137  1468506049.12590790  1468506049.12591910  0.00001121
 138  1468506049.12598610  1468506049.12599707  0.00001097
 139  1468506049.12606406  1468506049.12607503  0.00001097
 140  1468506049.12614202  1468506049.12615204  0.00001001
 141  1468506049.12621999  1468506049.12623000  0.00001001
 142  1468506049.12629700  1468506049.12630796  0.00001097
 143  1468506049.12637591  1468506049.12638593  0.00001001
 144  1468506049.12645292  1468506049.12646294  0.00001001
 145  1468506049.12652993  1468506049.12654090  0.00001097
 146  1468506049.12660789  1468506049.12661910  0.00001121
 147  1468506049.12668610  1468506049.12669611  0.00001001
 148  1468506049.12676311  1468506049.12677312  0.00001001
 149  1468506049.12684011  1468506049.12684989  0.00000978
 150  1468506049.12691689  1468506049.12692690  0.00001001
 151  1468506049.12699509  1468506049.12700510  0.00001001
 152  1468506049.12707210  1468506049.12708306  0.00001097
 153  1468506049.12714911  1468506049.12716007  0.00001097
 154  1468506049.12722707  1468506049.12723804  0.00001097
 155  1468506049.12730598  1468506049.12731600  0.00001001
 156  1468506049.12738299  1468506049.12739396  0.00001097
 157  1468506049.12746096  1468506049.12747097  0.00001001
 158  1468506049.12753892  1468506049.12754893  0.00001001
 159  1468506049.12761593  1468506049.12762690  0.00001097
 160  1468506049.12769389  1468506049.12770391  0.00001001
 161  1468506049.12777090  1468506049.12778211  0.00001121
 162  1468506049.12784910  1468506049.12786007  0.00001097
 163  1468506049.12792706  1468506049.12793708  0.00001001
 164  1468506049.12800407  1468506049.12801409  0.00001001
 165  1468506049.12808204  1468506049.12809205  0.00001001
 166  1468506049.12815809  1468506049.12816906  0.00001097
 167  1468506049.12823606  1468506049.12824607  0.00001001
 168  1468506049.12834311  1468506049.12835407  0.00001097
 169  1468506049.12842202  1468506049.12843204  0.00001001
 170  1468506049.12850094  1468506049.12851095  0.00001001
 171  1468506049.12857890  1468506049.12858891  0.00001001
 172  1468506049.12865591  1468506049.12866592  0.00001001
 173  1468506049.12873292  1468506049.12874293  0.00001001
 174  1468506049.12880993  1468506049.12882090  0.00001097
 175  1468506049.12888789  1468506049.12889791  0.00001001
 176  1468506049.12896490  1468506049.12897491  0.00001001
 177  1468506049.12904310  1468506049.12905407  0.00001097
 178  1468506049.12912011  1468506049.12913108  0.00001097
 179  1468506049.12919807  1468506049.12921095  0.00001287
 180  1468506049.12930202  1468506049.12931299  0.00001097
 181  1468506049.12938094  1468506049.12939095  0.00001001
 182  1468506049.12945795  1468506049.12946892  0.00001097
 183  1468506049.12953711  1468506049.12954807  0.00001097
 184  1468506049.12961602  1468506049.12962604  0.00001001
 185  1468506049.12969303  1468506049.12970304  0.00001001
 186  1468506049.12977004  1468506049.12978005  0.00001001
 187  1468506049.12984705  1468506049.12985802  0.00001097
 188  1468506049.12992501  1468506049.12993503  0.00001001
 189  1468506049.13000202  1468506049.13001299  0.00001097
 190  1468506049.13007998  1468506049.13009000  0.00001001
 191  1468506049.13015699  1468506049.13016796  0.00001097
 192  1468506049.13023496  1468506049.13029289  0.00005794
 193  1468506049.13038492  1468506049.13039708  0.00001216
 194  1468506049.13047099  1468506049.13048291  0.00001192
 195  1468506049.13055396  1468506049.13056397  0.00001001
 196  1468506049.13063192  1468506049.13064194  0.00001001
 197  1468506049.13070893  1468506049.13071990  0.00001097
 198  1468506049.13078594  1468506049.13079691  0.00001097
 199  1468506049.13086390  1468506049.13087511  0.00001121
 200  1468506049.13094091  1468506049.13095188  0.00001097
 201  1468506049.13101912  1468506049.13102889  0.00000978
 202  1468506049.13109589  1468506049.13110590  0.00001001
 203  1468506049.13117409  1468506049.13118410  0.00001001
 204  1468506049.13125110  1468506049.13126206  0.00001097
 205  1468506049.13132811  1468506049.13133907  0.00001097
 206  1468506049.13140512  1468506049.13141489  0.00000978
 207  1468506049.13148308  1468506049.13149309  0.00001001
 208  1468506049.13156199  1468506049.13157296  0.00001097
 209  1468506049.13163996  1468506049.13164997  0.00001001
 210  1468506049.13171792  1468506049.13172793  0.00001001
 211  1468506049.13179398  1468506049.13180399  0.00001001
 212  1468506049.13187099  1468506049.13188100  0.00001001
 213  1468506049.13194799  1468506049.13195801  0.00001001
 214  1468506049.13202405  1468506049.13203502  0.00001097
 215  1468506049.13210201  1468506049.13211203  0.00001001
 216  1468506049.13217902  1468506049.13218904  0.00001001
 217  1468506049.13225603  1468506049.13226700  0.00001097
 218  1468506049.13233304  1468506049.13234305  0.00001001
 219  1468506049.13241005  1468506049.13242006  0.00001001
 220  1468506049.13248610  1468506049.13249612  0.00001001
 221  1468506049.13256192  1468506049.13257289  0.00001097
 222  1468506049.13263988  1468506049.13265109  0.00001121
 223  1468506049.13271904  1468506049.13272905  0.00001001
 224  1468506049.13279700  1468506049.13280702  0.00001001
 225  1468506049.13287401  1468506049.13288403  0.00001001
 226  1468506049.13295102  1468506049.13296103  0.00001001
 227  1468506049.13302803  1468506049.13303804  0.00001001
 228  1468506049.13310504  1468506049.13311601  0.00001097
 229  1468506049.13318205  1468506049.13319302  0.00001097
 230  1468506049.13326097  1468506049.13327098  0.00001001
 231  1468506049.13333893  1468506049.13334990  0.00001097
 232  1468506049.13341594  1468506049.13342690  0.00001097
 233  1468506049.13349295  1468506049.13350296  0.00001001
 234  1468506049.13356996  1468506049.13357997  0.00001001
 235  1468506049.13364792  1468506049.13365793  0.00001001
 236  1468506049.13372493  1468506049.13373590  0.00001097
